"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2021","3,905.17","4,037.04","4,037.04","3,857.91","311.61K","-3.25%"
"Dec 27, 2021","4,036.24","4,064.58","4,125.11","4,033.26","222.31K","-0.61%"
"Dec 26, 2021","4,061.17","4,095.72","4,103.98","4,005.01","189.16K","-0.77%"
"Dec 25, 2021","4,092.69","4,046.98","4,135.67","4,025.33","208.14K","1.22%"
"Dec 24, 2021","4,043.19","4,112.30","4,133.72","4,025.43","230.85K","-1.62%"
"Dec 23, 2021","4,109.70","3,980.37","4,148.85","3,895.82","380.18K","3.27%"
"Dec 22, 2021","3,979.47","4,014.00","4,072.10","3,943.62","303.22K","-0.92%"
"Dec 21, 2021","4,016.27","3,956.37","4,058.42","3,915.49","340.87K","1.82%"
"Dec 20, 2021","3,944.49","3,923.62","3,978.42","3,757.35","366.91K","0.48%"
"Dec 19, 2021","3,925.80","3,959.00","4,024.80","3,890.82","306.00K","-0.86%"
"Dec 18, 2021","3,959.77","3,881.81","3,992.51","3,770.62","339.77K","2.10%"
"Dec 17, 2021","3,878.43","3,959.05","3,994.00","3,702.29","463.29K","-1.97%"
"Dec 16, 2021","3,956.35","4,023.92","4,107.85","3,955.35","368.81K","-1.56%"
"Dec 15, 2021","4,018.94","3,859.06","4,089.65","3,648.77","542.03K","4.11%"
"Dec 14, 2021","3,860.41","3,783.53","3,879.48","3,690.04","395.14K","2.12%"
"Dec 13, 2021","3,780.13","4,126.81","4,140.73","3,672.30","533.47K","-8.51%"
"Dec 12, 2021","4,131.84","4,089.38","4,173.15","3,988.22","260.68K","1.39%"
"Dec 11, 2021","4,075.23","3,896.72","4,094.73","3,837.15","427.79K","4.40%"
"Dec 10, 2021","3,903.58","4,107.70","4,227.84","3,894.26","563.20K","-4.97%"
"Dec 09, 2021","4,107.82","4,437.94","4,482.76","4,077.94","462.01K","-7.38%"
"Dec 08, 2021","4,435.24","4,308.26","4,449.85","4,229.16","429.38K","2.97%"
"Dec 07, 2021","4,307.11","4,350.79","4,424.22","4,259.06","420.89K","-1.05%"
"Dec 06, 2021","4,352.66","4,197.06","4,374.22","3,922.04","726.73K","3.77%"
"Dec 05, 2021","4,194.60","4,123.56","4,247.57","4,035.80","536.33K","1.86%"
"Dec 04, 2021","4,118.06","4,213.57","4,237.33","3,561.06","1.11M","-2.36%"
"Dec 03, 2021","4,217.78","4,512.71","4,646.83","4,045.17","677.86K","-6.54%"
"Dec 02, 2021","4,512.71","4,583.02","4,630.11","4,437.49","451.88K","-1.53%"
