"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jan-2022","EQ","1,520.00","1,532.90","1,507.80","1,519.65","1,528.05","1,528.55","1,521.68","1,725.00","1,342.00",4428676,"6,739,031,718.85",134455
"03-Jan-2022","EQ","1,485.00","1,523.00","1,480.50","1,479.40","1,519.80","1,519.65","1,507.81","1,725.00","1,342.00",4534592,"6,837,317,353.95",149449
"31-Dec-2021","EQ","1,461.50","1,484.80","1,461.50","1,461.50","1,481.00","1,479.40","1,478.42","1,725.00","1,342.00",3162868,"4,676,036,651.65",123205
"30-Dec-2021","EQ","1,458.50","1,466.85","1,445.00","1,453.85","1,464.00","1,461.50","1,459.33","1,725.00","1,342.00",3607959,"5,265,199,026.30",97583
"29-Dec-2021","EQ","1,456.05","1,461.00","1,447.40","1,460.80","1,451.00","1,453.85","1,455.12","1,725.00","1,342.00",3834351,"5,579,443,240.75",114258
"28-Dec-2021","EQ","1,460.70","1,466.90","1,453.40","1,450.80","1,460.95","1,460.80","1,460.32","1,725.00","1,342.00",2725339,"3,979,861,736.65",115091
"27-Dec-2021","EQ","1,428.90","1,454.00","1,422.15","1,438.90","1,453.00","1,450.80","1,440.89","1,725.00","1,342.00",2352549,"3,389,765,991.15",102204
"24-Dec-2021","EQ","1,445.50","1,452.00","1,428.00","1,444.10","1,439.45","1,438.90","1,438.31","1,725.00","1,342.00",2780512,"3,999,233,572.85",110788
"23-Dec-2021","EQ","1,453.25","1,457.80","1,436.85","1,445.20","1,438.70","1,444.10","1,449.12","1,725.00","1,342.00",4889583,"7,085,601,869.05",162623
"22-Dec-2021","EQ","1,452.30","1,456.00","1,435.70","1,441.80","1,447.50","1,445.20","1,443.59","1,725.00","1,342.00",4288742,"6,191,198,173.75",167203
"21-Dec-2021","EQ","1,439.50","1,450.75","1,430.00","1,425.65","1,444.65","1,441.80","1,441.88","1,725.00","1,342.00",4559375,"6,574,078,457.00",171631
"20-Dec-2021","EQ","1,452.00","1,458.00","1,414.10","1,473.05","1,424.50","1,425.65","1,426.64","1,725.00","1,342.00",10578334,"15,091,475,327.05",411439
"17-Dec-2021","EQ","1,497.00","1,506.00","1,467.70","1,500.10","1,476.00","1,473.05","1,479.06","1,725.00","1,342.00",7497384,"11,089,043,997.50",194713
"16-Dec-2021","EQ","1,512.80","1,517.00","1,494.00","1,500.00","1,503.35","1,500.10","1,505.13","1,725.00","1,342.00",6605216,"9,941,739,913.65",179348
"15-Dec-2021","EQ","1,503.00","1,523.35","1,495.65","1,502.45","1,500.00","1,500.00","1,504.12","1,725.00","1,342.00",5057574,"7,607,173,782.90",133205
"14-Dec-2021","EQ","1,502.50","1,516.00","1,497.05","1,511.15","1,504.00","1,502.45","1,505.10","1,725.00","1,342.00",4595550,"6,916,756,665.40",175566
"13-Dec-2021","EQ","1,526.00","1,537.65","1,507.20","1,522.55","1,513.20","1,511.15","1,523.63","1,725.00","1,342.00",5161071,"7,863,562,721.05",143473
"10-Dec-2021","EQ","1,524.90","1,528.00","1,508.45","1,526.85","1,524.00","1,522.55","1,521.33","1,725.00","1,342.00",3889692,"5,917,512,516.45",123564
"09-Dec-2021","EQ","1,545.20","1,554.70","1,522.00","1,553.80","1,526.00","1,526.85","1,530.57","1,725.00","1,342.00",5873872,"8,990,397,300.15",148558
