"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jan-2022","EQ","569.40","577.70","562.50","570.60","566.15","566.20","571.77","606.55","296.50",744489,"425,673,098.10",15105
"04-Jan-2022","EQ","558.90","573.10","556.00","555.10","570.20","570.60","566.17","606.55","296.50",1178814,"667,414,438.95",21181
"03-Jan-2022","EQ","554.10","559.00","552.00","553.55","555.95","555.10","555.15","606.55","296.50",312604,"173,542,710.70",10690
"31-Dec-2021","EQ","549.15","555.00","545.30","549.05","552.50","553.55","550.87","606.55","296.50",393467,"216,750,193.70",8406
"30-Dec-2021","EQ","542.90","551.75","533.00","540.90","546.90","549.05","545.16","606.55","296.50",827908,"451,343,229.00",14194
"29-Dec-2021","EQ","544.80","548.80","538.85","544.95","542.25","540.90","544.48","606.55","296.50",382180,"208,087,778.50",8719
"28-Dec-2021","EQ","543.35","546.50","534.00","538.00","544.70","544.95","541.09","606.55","296.50",839069,"454,010,470.05",17263
"27-Dec-2021","EQ","530.15","540.65","527.30","533.40","538.45","538.00","534.78","606.55","296.50",520997,"278,618,518.30",9656
"24-Dec-2021","EQ","544.95","547.90","529.55","542.20","532.50","533.40","535.56","606.55","293.00",536765,"287,471,163.45",9791
"23-Dec-2021","EQ","538.00","545.35","535.70","535.10","543.00","542.20","541.50","606.55","293.00",561881,"304,255,927.90",14417
"22-Dec-2021","EQ","537.05","542.45","532.50","536.75","535.00","535.10","536.24","606.55","293.00",527661,"282,950,970.90",13157
"21-Dec-2021","EQ","540.00","548.20","531.45","537.35","536.75","536.75","540.56","606.55","293.00",623385,"336,977,464.20",16956
"20-Dec-2021","EQ","539.90","539.95","526.00","544.45","535.55","537.35","533.89","606.55","293.00",522564,"278,991,276.15",14975
"17-Dec-2021","EQ","557.00","560.00","539.10","557.40","543.40","544.45","546.27","606.55","293.00",1426816,"779,429,559.45",48119
"16-Dec-2021","EQ","599.00","603.20","554.75","598.60","558.00","557.40","568.52","606.55","293.00",2635061,"1,498,084,936.05",46016
"15-Dec-2021","EQ","583.50","606.55","576.80","582.05","599.00","598.60","590.77","606.55","293.00",2282818,"1,348,617,989.95",33425
"14-Dec-2021","EQ","574.80","584.85","571.45","576.55","584.30","582.05","579.41","591.70","293.00",407005,"235,823,531.60",9635
"13-Dec-2021","EQ","580.20","590.85","575.00","579.70","576.00","576.55","582.24","591.70","293.00",459749,"267,685,407.95",11630
