Date,Month,Total Returns Index
16-Dec-20,Dec,7324.39
17-Dec-20,Dec,7322.18
18-Dec-20,Dec,7295.12
21-Dec-20,Dec,6937.09
22-Dec-20,Dec,7002.78
23-Dec-20,Dec,7202.23
24-Dec-20,Dec,7257
28-Dec-20,Dec,7380.07
29-Dec-20,Dec,7380.1
30-Dec-20,Dec,7423.66
31-Dec-20,Dec,7440.28
01-Jan-21,Jan,7525.92
04-Jan-21,Jan,7624.31
05-Jan-21,Jan,7670.83
06-Jan-21,Jan,7651.47
07-Jan-21,Jan,7738.14
08-Jan-21,Jan,7793.25
11-Jan-21,Jan,7787.2
12-Jan-21,Jan,7809.58
13-Jan-21,Jan,7789.25
14-Jan-21,Jan,7823.52
15-Jan-21,Jan,7740.44
18-Jan-21,Jan,7597.54
19-Jan-21,Jan,7724.75
20-Jan-21,Jan,7756.36
21-Jan-21,Jan,7723.17
22-Jan-21,Jan,7669.56
25-Jan-21,Jan,7592.39
27-Jan-21,Jan,7576.21
28-Jan-21,Jan,7545.36
29-Jan-21,Jan,7520.47
01-Feb-21,Feb,7671.61
02-Feb-21,Feb,7767.82
03-Feb-21,Feb,7877.83
04-Feb-21,Feb,7986.75
05-Feb-21,Feb,8005.87
08-Feb-21,Feb,8127.95
09-Feb-21,Feb,8093.46
10-Feb-21,Feb,8126.77
11-Feb-21,Feb,8242.12
12-Feb-21,Feb,8230.57
15-Feb-21,Feb,8254.08
16-Feb-21,Feb,8273.1
17-Feb-21,Feb,8308.12
18-Feb-21,Feb,8380.21
19-Feb-21,Feb,8310.76
22-Feb-21,Feb,8229.67
23-Feb-21,Feb,8303.04
24-Feb-21,Feb,8409.35
25-Feb-21,Feb,8546.16
26-Feb-21,Feb,8454.68
01-Mar-21,Mar,8607.66
02-Mar-21,Mar,8712.39
03-Mar-21,Mar,8793.71
04-Mar-21,Mar,8879.35
05-Mar-21,Mar,8744.41
08-Mar-21,Mar,8798.53
09-Mar-21,Mar,8724.25
10-Mar-21,Mar,8816.94
12-Mar-21,Mar,8847.46
15-Mar-21,Mar,8782.3
16-Mar-21,Mar,8805.54
17-Mar-21,Mar,8609.24
18-Mar-21,Mar,8487.68
19-Mar-21,Mar,8525.09
22-Mar-21,Mar,8546.81
23-Mar-21,Mar,8605.9
24-Mar-21,Mar,8442.38
25-Mar-21,Mar,8281.07
26-Mar-21,Mar,8377.56
30-Mar-21,Mar,8484.92
31-Mar-21,Mar,8529.76
01-Apr-21,Apr,8697.4
05-Apr-21,Apr,8559.56
06-Apr-21,Apr,8651.91
07-Apr-21,Apr,8772.24
08-Apr-21,Apr,8865.73
09-Apr-21,Apr,8913.35
12-Apr-21,Apr,8432.69
13-Apr-21,Apr,8574.17
